,Name,2020 Count,2019 Count,2018 Count,2017 Count,2016 Count,2015 Count,2014 Count,2013 Count,2012 Count,2011 Count,2010 Count,2009 Count,2008 Count,2007 Count,2006 Count,2005 Count,2004 Count,2003 Count,2002 Count,2001 Count,2000 Count
12054,QI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,3.0,5.0,4.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,:
12056,QUADE,6.0,3.0,0.0,9.0,3.0,8.0,7.0,0.0,7.0,3.0,8.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,:
12057,QUAID,0.0,3.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,3.0,5.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,5
12063,QUENTIN,23.0,30.0,17.0,31.0,26.0,20.0,26.0,17.0,12.0,17.0,7.0,14.0,13.0,11.0,8.0,13.0,16.0,12.0,8.0,10.0,11
12066,QUILLAN,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,:
12067,QUIN,9.0,4.0,8.0,8.0,7.0,5.0,5.0,3.0,5.0,0.0,5.0,5.0,0.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,:
12069,QUINCY,19.0,19.0,16.0,22.0,6.0,20.0,14.0,9.0,14.0,10.0,12.0,10.0,9.0,13.0,16.0,8.0,6.0,11.0,11.0,6.0,10
12070,QUINLAN,6.0,12.0,11.0,9.0,14.0,7.0,9.0,11.0,10.0,15.0,11.0,8.0,14.0,14.0,12.0,7.0,8.0,9.0,9.0,4.0,5
12072,QUINN,149.0,168.0,217.0,219.0,204.0,160.0,146.0,111.0,102.0,104.0,94.0,77.0,78.0,67.0,71.0,49.0,62.0,53.0,34.0,35.0,41
12073,QUINTEN,3.0,8.0,5.0,6.0,10.0,4.0,3.0,0.0,0.0,4.0,6.0,0.0,3.0,0.0,3.0,4.0,5.0,0.0,0.0,3.0,:
12074,QUINTIN,4.0,8.0,4.0,6.0,6.0,3.0,5.0,4.0,0.0,4.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,:
12075,QUINTON,28.0,24.0,33.0,22.0,21.0,20.0,12.0,14.0,11.0,12.0,11.0,9.0,7.0,7.0,5.0,3.0,8.0,4.0,3.0,0.0,8
12078,QUSAI,4.0,0.0,0.0,7.0,7.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,:
12080,RA'EES,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,5.0,0.0,:
