,Name,2020 Rank,2019 Rank,2018 Rank,2017 Rank,2016 Rank,2015 Rank,2014 Rank,2013 Rank,2012 Rank,2011 Rank,2010 Rank,2009 Rank,2008 Rank,2007 Rank,2006 Rank,2005 Rank,2004 Rank,2003 Rank,2002 Rank,2001 Rank,2000 Rank
13592,SEAMUS,1150.0,1113.0,887.0,1021.0,1319.0,927.0,1117.0,910.0,1051.0,1045.0,832.0,944.0,712.0,638.0,688.0,666.0,655.0,615.0,534.0,518.0,554.0
13593,SEAN,509.0,404.0,435.0,368.0,359.0,284.0,255.0,239.0,214.0,178.0,151.0,132.0,99.0,97.0,95.0,94.0,83.0,67.0,74.0,67.0,60.0
13598,SEB,699.0,678.0,619.0,833.0,870.0,790.0,889.0,821.0,866.0,999.0,1911.0,1099.0,1206.0,1885.0,1643.0,1991.0,2304.0,3467.0,2005.0,2220.0,4813.0
13599,SEBASTIAAN,4813.0,4813.0,4813.0,4813.0,4810.0,4813.0,4632.0,3822.0,4805.0,4813.0,3332.0,4813.0,3687.0,4333.0,4813.0,4813.0,4813.0,4813.0,2636.0,4813.0,4813.0
13600,SEBASTIAN,39.0,34.0,28.0,35.0,36.0,35.0,38.0,38.0,41.0,47.0,58.0,62.0,77.0,87.0,94.0,89.0,90.0,88.0,96.0,106.0,111.0
13602,SEBASTIANO,4608.0,3937.0,3412.0,3449.0,2335.0,3004.0,4632.0,1796.0,3039.0,3830.0,2400.0,3227.0,2775.0,3095.0,2870.0,1851.0,4813.0,4813.0,4813.0,4813.0,3036.0
13604,SEBASTIAO,4813.0,4813.0,3959.0,4812.0,4023.0,3908.0,4813.0,4813.0,4813.0,4813.0,3865.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13605,SEBASTIEN,1635.0,1001.0,835.0,888.0,748.0,719.0,534.0,589.0,549.0,565.0,536.0,627.0,597.0,517.0,582.0,574.0,590.0,615.0,691.0,668.0,731.0
13611,SEELEY,4813.0,4813.0,3959.0,4812.0,4023.0,3004.0,3895.0,3315.0,3987.0,3300.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13612,SEFA,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4632.0,4813.0,4813.0,4813.0,4678.0,4813.0,4813.0,4813.0,2870.0,4813.0,3651.0,2857.0,4813.0,3134.0,3036.0
13615,SEHAJ,1492.0,1745.0,2693.0,2052.0,3079.0,3373.0,1560.0,2216.0,3416.0,4813.0,4813.0,4527.0,4813.0,4813.0,4052.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13616,SEHAJDEEP,4608.0,4702.0,4813.0,4813.0,4023.0,4813.0,3362.0,3822.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13620,SEIF,3848.0,4813.0,4813.0,3449.0,4810.0,4747.0,3895.0,4685.0,2721.0,4813.0,4678.0,3744.0,3687.0,4813.0,2282.0,2754.0,2578.0,2470.0,2636.0,3134.0,3036.0
13625,SEKOU,3848.0,3937.0,4813.0,4812.0,4813.0,4747.0,4813.0,3315.0,3416.0,3300.0,4678.0,4527.0,4813.0,3589.0,2538.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13628,SELBY,3848.0,4813.0,3412.0,4813.0,4810.0,4813.0,3362.0,4813.0,3416.0,4813.0,4813.0,4813.0,3687.0,4813.0,4813.0,4813.0,4813.0,3467.0,4813.0,4813.0,4813.0
13630,SELIM,2076.0,1369.0,1610.0,1703.0,1570.0,2020.0,2079.0,2954.0,2458.0,2613.0,2941.0,3227.0,2097.0,4813.0,4813.0,4813.0,2578.0,3467.0,2005.0,4813.0,4813.0
13632,SELWYN,4608.0,4813.0,4813.0,4813.0,4813.0,4813.0,3895.0,4813.0,4813.0,4813.0,4678.0,4813.0,4432.0,4813.0,4813.0,3849.0,4813.0,3467.0,2636.0,4813.0,4813.0
13633,SEM,4813.0,4813.0,4813.0,4812.0,4023.0,3908.0,4813.0,3822.0,4813.0,4813.0,4813.0,4527.0,4813.0,4813.0,3385.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
