,title,rating,release_year
225,101 Dalmatians II: Patch's London Adventure,6.0,2003
226,Alvin and the Chipmunks: The Squeakquel,5.7,2009
227,Cinderella II: Dreams Come True,6.1,2002
228,La leyenda de la Llorona,7.7,2011
229,Madagascar: Escape 2 Africa,6.4,2008
230,The Call of the Wild,7.6,2020
231,Mirai,7.2,2018
232,Paul Blart: Mall Cop,5.4,2009
233,How to Train Your Dragon: Homecoming,8.2,2019
234,The Adventures of Sharkboy and Lavagirl,5.1,2005
235,The Monkey King,5.7,2014
236,Shark Tale,6.0,2004
237,Woody Woodpecker,6.7,2017
238,Dora and the Lost City of Gold,6.8,2019
239,Scoob!,7.3,2020
241,Alice Through the Looking Glass,6.5,2016
242,Enchanted,6.8,2007
243,Barbie Fairytopia: Mermaidia,6.8,2006
244,Abominable,7.6,2019
245,Tinker Bell and the Legend of the NeverBeast,7.1,2014
246,Barbie as Rapunzel,7.1,2002
247,Teenage Mutant Ninja Turtles: Out of the Shadows,6.0,2016
248,Klaus,8.3,2019
249,Barbie: A Fashion Fairytale,7.2,2010
250,Spies in Disguise,7.7,2019
251,Cloudy with a Chance of Meatballs,6.6,2009
252,Tinker Bell and the Pirate Fairy,6.8,2014
253,The SpongeBob Movie: Sponge Out of Water,6.1,2015
254,Alien Xmas,6.7,2020
255,Princess Protection Program,6.6,2009
256,CJ7,7.2,2008
257,Spy Kids 2: The Island of Lost Dreams,5.6,2002
258,Cinderella III: A Twist in Time,6.5,2007
259,Bee Movie,6.0,2007
261,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.4,2010
262,Ballerina,7.2,2016
263,The Santa Clause 2,5.9,2002
264,Brother Bear 2,6.7,2006
265,Angela's Christmas Wish,6.4,2020
266,Chicken Run,6.7,2000
267,Tinker Bell and the Lost Treasure,6.8,2009
268,The Wild,5.5,2006
269,A Dog's Purpose,7.6,2017
270,Shrek the Halls,6.2,2007
271,Ella Enchanted,6.4,2004
272,Barbie of Swan Lake,7.0,2003
273,Barbie in 'A Christmas Carol',7.1,2008
274,Meet the Robinsons,6.9,2007
275,Mulan II,6.5,2004
276,Happy Feet Two,6.1,2011
277,Barbie in A Mermaid Tale,7.2,2010
278,Home,6.8,2015
279,Finding Dory,7.1,2016
280,Barbie and the Three Musketeers,7.2,2009
281,Monsters vs Aliens,6.2,2009
282,Beethoven's Big Break,5.2,2008
283,Cloudy with a Chance of Meatballs 2,6.4,2013
284,Descendants 2,7.5,2017
285,Goosebumps 2: Haunted Halloween,6.1,2018
286,Happy Feet,6.1,2006
287,Epic,6.5,2013
288,Dragons: Dawn Of The Dragon Racers,7.2,2014
289,Jack the Giant Slayer,5.8,2013
291,Ice Age: A Mammoth Christmas,6.4,2011
292,Jingle Jangle: A Christmas Journey,6.7,2020
293,The Jungle Book,6.9,2016
294,The Emoji Movie,5.6,2017
295,Christmas with the Kranks,6.1,2004
296,Hannah Montana: The Movie,6.6,2009
298,Checkered Ninja,7.4,2018
299,A Trash Truck Christmas,6.6,2020
